Taxon_ID	Taxon_Name	Taxonomic_Level	Total_Reads	Abundance_Percentage
F	44115	          Hymenobacteraceae	16	255	  0.03
G	44117	            Hymenobacter	124	124	  0.01
G	44116	            Adhaeribacter	59	59	  0.01
G	44118	            Nibribacter	29	29	  0.00
G	44119	            Pontibacter	25	25	  0.00
G	44120	            Rufibacter	2	2	  0.00
F	44122	          Microscillaceae	2	211	  0.02
G	44130	            uncultured	130	130	  0.02
G	50024	            Hassallia	28	28	  0.00
G	44123	            Chryseolinea	16	16	  0.00
G	44125	            Flexibacter	11	11	  0.00
G	44129	            Thermoflexibacter	11	11	  0.00
G	44127	            OLB12	7	7	  0.00
G	44128	            Ohtaekwangia	6	6	  0.00
F	44099	          Cytophagaceae	5	156	  0.02
G	44100	            Cytophaga	94	94	  0.01
G	44103	            Sporocytophaga	49	49	  0.01
G	44102	            Siphonobacter	7	7	  0.00
G	44101	            Rhodocytophaga	1	1	  0.00
F	44058	          Amoebophilaceae	0	46	  0.01
G	44059	            Candidatus Amoebophilus	35	35	  0.00
G	44062	            uncultured	10	10	  0.00
G	44060	            Candidatus Cardinium	1	1	  0.00
F	44121	          MWH-CFBk5	19	19	  0.00
F	44105	          Flammeovirgaceae	0	15	  0.00
G	44107	            Flammeovirga	9	9	  0.00
G	44111	            Perexilibacter	4	4	  0.00
G	44108	            Flexithrix	2	2	  0.00
F	44133	          Raineyaceae	0	6	  0.00
G	44134	            Raineya	6	6	  0.00
F	44159	          uncultured	5	5	  0.00
F	44131	          Mooreiaceae	0	1	  0.00
G	44132	            Mooreia	1	1	  0.00
O	44330	        Sphingobacteriales	84	51297	  6.05
F	44343	          NS11-12 marine group	50162	50162	  5.91
F	44348	          Sphingobacteriaceae	10	718	  0.08
G	44359	            Solitalea	316	316	  0.04
G	44355	            Pedobacter	212	212	  0.02
G	44351	            Mucilaginibacter	115	115	  0.01
G	44360	            Sphingobacterium	51	51	  0.01
G	44361	            uncultured	8	8	  0.00
G	44352	            Nubsella	3	3	  0.00
G	44349	            Anseongella	2	2	  0.00
G	44353	            Olivibacter	1	1	  0.00
F	44332	          AKYH767	132	132	  0.02
F	44340	          Lentimicrobiaceae	41	86	  0.01
G	44341	            Lentimicrobium	45	45	  0.01
F	44363	          env.OPS 17	59	59	  0.01
F	44339	          KD3-93	13	13	  0.00
F	44347	          ST-12K33	9	9	  0.00
F	44338	          KD1-131	9	9	  0.00
F	44336	          FFCH9454	6	6	  0.00
F	44342	          LiUU-11-161	5	5	  0.00
F	44344	          S15-21	5	5	  0.00
F	44337	          GWF2-29-10	2	2	  0.00
F	44345	          S15A-MN91	2	2	  0.00
F	44335	          E6aC02	2	2	  0.00
F	44331	          ADurb.Bin408	1	1	  0.00
F	44364	          s74e-6049	1	1	  0.00
F	44365	          uncultured	1	1	  0.00
O	44160	        Flavobacteriales	32	22315	  2.63
F	44183	          Flavobacteriaceae	46	17151	  2.02
G	44221	            Flavobacterium	16925	16925	  1.99
G	44304	            uncultured	22	22	  0.00
G	44204	            Capnocytophaga	19	19	  0.00
G	44271	            Pseudofulvibacter	17	17	  0.00
G	44205	            Cellulophaga	8	8	  0.00
G	44238	            Jejudonia	8	8	  0.00
G	44262	            NS5 marine group	8	8	  0.00
G	44294	            Tenacibaculum	7	7	  0.00
G	44278	            Salinimicrobium	7	7	  0.00
G	44193	            Aquibacter	7	7	  0.00
G	44280	            Sediminicola	6	6	  0.00
G	44261	            NS4 marine group	6	6	  0.00
G	44184	            Actibacter	5	5	  0.00
G	44268	            Polaribacter	5	5	  0.00
G	44258	            Myroides	4	4	  0.00
G	44251	            Maritimimonas	4	4	  0.00
G	44246	            Lutibacter	4	4	  0.00
G	44189	            Algibacter	4	4	  0.00
G	44265	            Olleya	3	3	  0.00
G	44241	            Kordia	3	3	  0.00
G	44273	            Psychroflexus	3	3	  0.00
G	44229	            Gillisia	3	3	  0.00
G	44295	            Ulvibacter	2	2	  0.00
G	44222	            Formosa	2	2	  0.00
G	44185	            Aequorivita	2	2	  0.00
G	44213	            Dokdonia	2	2	  0.00
G	44211	            Croceibacter	2	2	  0.00
G	44209	            Confluentibacter	2	2	  0.00
G	44207	            Citreitalea	1	1	  0.00
G	44283	            Sinomicrobium	1	1	  0.00
G	44298	            Winogradskyella	1	1	  0.00
G	44231	            Gramella	1	1	  0.00
G	44296	            Vitellibacter	1	1	  0.00
G	44255	            Mesonia	1	1	  0.00
G	44256	            Muricauda	1	1	  0.00
G	44191	            Antarcticibacterium	1	1	  0.00
G	44277	            Salegentibacter	1	1	  0.00
G	44275	            Robiginitalea	1	1	  0.00
G	44291	            Subsaximicrobium	1	1	  0.00
G	44217	            Flavicella	1	1	  0.00
G	44196	            Arenibacter	1	1	  0.00
G	44266	            Pibocella	1	1	  0.00
G	44267	            Planktosalinus	1	1	  0.00
F	44167	          Crocinitomicaceae	52	4850	  0.57
G	44170	            Fluviicola	4715	4715	  0.56
G	44174	            uncultured	30	30	  0.00
G	44169	            Crocinitomix	28	28	  0.00
G	44172	            Salinirepens	17	17	  0.00
G	44168	            Brumimicrobium	4	4	  0.00
G	44173	            Wandonia	3	3	  0.00
G	44171	            Lishizhenia	1	1	  0.00
F	44308	          NS9 marine group	104	104	  0.01
F	44175	          Cryomorphaceae	0	101	  0.01
G	44182	            uncultured	82	82	  0.01
G	44181	            Vicingus	8	8	  0.00
G	44178	            NS10 marine group	5	5	  0.00
G	44176	            Cryomorpha	3	3	  0.00
G	44177	            Luteibaculum	1	1	  0.00
G	44179	            Owenweeksia	1	1	  0.00
G	44180	            Phaeocystidibacter	1	1	  0.00
F	44311	          Weeksellaceae	10	69	  0.01
G	44317	            Chryseobacterium	24	24	  0.00
G	44318	            Cloacibacterium	21	21	  0.00
G	44321	            Empedobacter	5	5	  0.00
G	44314	            Bergeyella	4	4	  0.00
G	44320	            Elizabethkingia	2	2	  0.00
G	50038	            Wautersiella	1	1	  0.00
G	44327	            uncultured	1	1	  0.00
G	44313	            Apibacter	1	1	  0.00
F	44307	          NS7 marine group	5	5	  0.00
F	44161	          Blattabacteriaceae	0	2	  0.00
G	44164	            Candidatus Sulcia	1	1	  0.00
G	44165	            Candidatus Uzinura	1	1	  0.00
F	44309	          Schleiferiaceae	0	1	  0.00
G	44310	            Schleiferia	1	1	  0.00
O	44004	        Chitinophagales	14	2400	  0.28
F	44006	          Chitinophagaceae	89	1804	  0.21
G	44036	            Sediminibacterium	766	766	  0.09
G	44043	            uncultured	189	189	  0.02
G	44013	            Dinghuibacter	184	184	  0.02
G	44039	            Terrimonas	145	145	  0.02
G	44014	            Edaphobaculum	114	114	  0.01
G	44015	            Ferruginibacter	96	96	  0.01
G	44020	            Flavisolibacter	52	52	  0.01
G	44010	            Chitinophaga	37	37	  0.00
G	44034	            Puia	19	19	  0.00
G	44038	            Taibaiella	19	19	  0.00
G	44021	            Flavitalea	13	13	  0.00
G	44037	            Segetibacter	10	10	  0.00
G	44026	            Lacibacter	10	10	  0.00
G	44019	            Flavihumibacter	9	9	  0.00
G	44009	            Aurantisolimonas	9	9	  0.00
G	44027	            Niabella	8	8	  0.00
G	44042	            Vibrionimonas	7	7	  0.00
G	44035	            Rurimicrobium	5	5	  0.00
G	44028	            Niastella	5	5	  0.00
G	44032	            Parasegetibacter	3	3	  0.00
G	44007	            Arachidicoccus	3	3	  0.00
G	44011	            Cnuella	3	3	  0.00
G	44016	            Filimonas	2	2	  0.00
G	44025	            Hydrotalea	1	1	  0.00
G	44041	            UTBCD1	1	1	  0.00
G	44033	            Pseudoflavitalea	1	1	  0.00
G	44030	            Parafilimonas	1	1	  0.00
G	44024	            Hydrobacter	1	1	  0.00
G	44022	            Haoranjiania	1	1	  0.00
G	44017	            Filobacterium	1	1	  0.00
F	44044	          Saprospiraceae	5	423	  0.05
G	44055	            uncultured	371	371	  0.04
G	44046	            Candidatus Aquirestis	12	12	  0.00
G	44047	            Haliscomenobacter	10	10	  0.00
G	44048	            Lewinella	9	9	  0.00
G	44051	            Phaeodactylibacter	7	7	  0.00
G	44054	            Saprospira	6	6	  0.00
G	44052	            Portibacter	3	3	  0.00
F	44056	          uncultured	108	108	  0.01
F	44005	          37-13	51	51	  0.01
O	43870	        Bacteroidales	126	1345	  0.16
F	43873	          Bacteroidaceae	0	240	  0.03
G	43874	            Bacteroides	240	240	  0.03
F	43964	          Rikenellaceae	5	206	  0.02
G	43978	            uncultured	90	90	  0.01
G	43972	            Rikenellaceae RC9 gut group	62	62	  0.01
G	43965	            Alistipes	33	33	  0.00
G	43976	            dgA-11 gut group	7	7	  0.00
G	43966	            Anaerocella	4	4	  0.00
G	43967	            Bact-08	2	2	  0.00
G	43968	            DMER64	1	1	  0.00
G	43974	            SP3-e08	1	1	  0.00
G	43975	            U29-B03	1	1	  0.00
F	43951	          Prolixibacteraceae	2	174	  0.02
G	43962	            uncultured	62	62	  0.01
G	43952	            BSV13	49	49	  0.01
G	43961	            WCHB1-32	29	29	  0.00
G	43958	            Roseimarinus	24	24	  0.00
G	43956	            Meniscus	5	5	  0.00
G	43953	            Draconibacterium	2	2	  0.00
G	43957	            Prolixibacter	1	1	  0.00
F	43940	          Prevotellaceae	2	83	  0.01
G	43943	            Prevotella	31	31	  0.00
G	50018	            Prevotella_9	24	24	  0.00
G	43941	            Alloprevotella	11	11	  0.00
G	43946	            Prevotellaceae UCG-001	5	5	  0.00
G	43942	            Paraprevotella	2	2	  0.00
G	43945	            Prevotellaceae NK3B31 group	2	2	  0.00
G	43950	            uncultured	2	2	  0.00
G	50017	            Prevotella_7	2	2	  0.00
G	43947	            Prevotellaceae UCG-003	1	1	  0.00
G	43948	            Prevotellaceae UCG-004	1	1	  0.00
F	43889	          Dysgonomonadaceae	5	69	  0.01
G	43897	            uncultured	24	24	  0.00
G	43893	            Dysgonomonas	20	20	  0.00
G	43890	            Candidatus Armantifilum	8	8	  0.00
G	43896	            Proteiniphilum	4	4	  0.00
G	43892	            Candidatus Symbiothrix	3	3	  0.00
G	43891	            Candidatus Azobacteroides	2	2	  0.00
G	43895	            Petrimonas	2	2	  0.00
G	43894	            Fermentimonas	1	1	  0.00
F	43912	          Marinilabiliaceae	2	63	  0.01
G	43925	            uncultured	43	43	  0.01
G	43924	            [Cytophaga] xylanolytica group	13	13	  0.00
G	43919	            Mangroviflexus	2	2	  0.00
G	43922	            Saccharicrinis	2	2	  0.00
G	43913	            Alkaliflexus	1	1	  0.00
F	43927	          Muribaculaceae	57	57	  0.01
F	43880	          Bacteroidetes BD2-2	45	45	  0.01
F	43937	          Porphyromonadaceae	0	37	  0.00
G	43939	            Porphyromonas	37	37	  0.00
F	43981	          SB-5	36	36	  0.00
F	43930	          Paludibacteraceae	0	35	  0.00
G	43931	            F0058	11	11	  0.00
G	43935	            uncultured	11	11	  0.00
G	43934	            Paludibacter	8	8	  0.00
G	43933	            Microbacter	5	5	  0.00
F	43881	          Bacteroidetes vadinHA17	25	25	  0.00
F	43985	          Tannerellaceae	3	25	  0.00
G	43988	            Parabacteroides	13	13	  0.00
G	43987	            Macellibacteroides	7	7	  0.00
G	43986	            Candidatus Vestibaculum	1	1	  0.00
G	43989	            Tannerella	1	1	  0.00
F	43906	          Marinifilaceae	0	19	  0.00
G	43908	            Marinifilum	9	9	  0.00
G	43911	            uncultured	6	6	  0.00
G	43909	            Odoribacter	4	4	  0.00
F	43875	          Bacteroidales BS11 gut group	19	19	  0.00
F	43905	          ML635J-40 aquatic group	17	17	  0.00
F	43991	          Williamwhitmaniaceae	2	12	  0.00
G	43993	            BCf9-17 termite group	4	4	  0.00
G	43995	            Rs-D38 termite group	3	3	  0.00
G	43992	            Acetobacteroides	2	2	  0.00
G	43996	            Williamwhitmania	1	1	  0.00
F	44000	          p-2534-18B5 gut group	10	10	  0.00
F	43898	          F082	8	8	  0.00
F	43982	          Salinivirgaceae	0	8	  0.00
G	43984	            uncultured	7	7	  0.00
G	43983	            Salinivirga	1	1	  0.00
F	44001	          uncultured	7	7	  0.00
F	43904	          M2PB4-65 termite group	4	4	  0.00
F	43878	          Bacteroidales RF16 group	4	4	  0.00
F	43979	          Rs-E47 termite group	1	3	  0.00
G	43980	            GWE2-42-42	2	2	  0.00
F	43887	          COB P4-1 termite group	2	2	  0.00
F	43999	          p-251-o5	2	2	  0.00
F	43879	          Bacteroidales UCG-001	2	2	  0.00
F	43936	          PeH15	2	2	  0.00
F	43872	          3M1PL1-52 termite group	1	1	  0.00
F	43903	          LKC2.127-25	1	1	  0.00
F	43899	          FTLpost3	1	1	  0.00
F	43888	          CR-115	1	1	  0.00
F	43882	          Barnesiellaceae	0	1	  0.00
G	43883	            Barnesiella	1	1	  0.00
O	44003	        Bacteroidetes VC2.1 Bac22	13	13	  0.00
O	44329	        SM1A07	9	9	  0.00
C	44390	      Kapabacteria	0	112	  0.01
O	44391	        Kapabacteriales	112	112	  0.01
C	44392	      Kryptonia	0	66	  0.01
O	44393	        Kryptoniales	0	66	  0.01
F	44394	          BSV26	65	65	  0.01
F	44400	          MSB-3C8	1	1	  0.00
C	44402	      Rhodothermia	0	16	  0.00
O	44419	        Rhodothermales	0	16	  0.00
F	44420	          Rhodothermaceae	1	16	  0.00
G	44428	            uncultured	15	15	  0.00
C	44376	      Ignavibacteria	0	13	  0.00
O	50039	        SJA-28	7	7	  0.00
O	44377	        Ignavibacteriales	0	6	  0.00
F	44380	          Ignavibacteriaceae	0	2	  0.00
G	44381	            Ignavibacterium	2	2	  0.00
F	44382	          LD-RB-34	1	1	  0.00
F	44383	          Melioribacteraceae	0	1	  0.00
G	44385	            Melioribacter	1	1	  0.00
F	44386	          PHOS-HE36	1	1	  0.00
F	44388	          SR-FBR-L83	1	1	  0.00
C	44366	      Chlorobia	0	1	  0.00
O	44367	        Chlorobiales	0	1	  0.00
F	44368	          Chlorobiaceae	0	1	  0.00
G	44370	            Chlorobium	1	1	  0.00
P	2375	    Proteobacteria	52	365163	 43.04
C	3303	      Gammaproteobacteria	251	346738	 40.86
O	46187	        Burkholderiales	2150	321535	 37.89
F	46259	          Comamonadaceae	33429	278362	 32.81
G	46283	            Limnohabitans	49549	49549	  5.84
G	46269	            Comamonas	43719	43719	  5.15
G	46298	            Rhodoferax	22687	22687	  2.67
G	46260	            Acidovorax	20736	20736	  2.44
G	46272	            Delftia	17212	17212	  2.03
G	46309	            Variovorax	15221	15221	  1.79
G	46315	            uncultured	9031	9031	  1.06
G	46292	            Polaromonas	7331	7331	  0.86
G	46290	            Pelomonas	6394	6394	  0.75
G	46262	            Aquabacterium	6218	6218	  0.73
G	46276	            Hydrogenophaga	5855	5855	  0.69
G	46266	            Caenimonas	4652	4652	  0.55
G	46296	            Ramlibacter	4283	4283	  0.50
G	46294	            Pseudorhodoferax	4094	4094	  0.48
G	46273	            Diaphorobacter	4033	4033	  0.48
G	46265	            Brachymonas	2933	2933	  0.35
G	46303	            Simplicispira	2520	2520	  0.30
G	46304	            Sphaerotilus	2486	2486	  0.29
G	46268	            Candidatus Symbiobacter	2450	2450	  0.29
G	46297	            Rhizobacter	2405	2405	  0.28
G	46310	            Verminephrobacter	2117	2117	  0.25
G	46271	            Curvibacter	1472	1472	  0.17
G	46282	            Leptothrix	1217	1217	  0.14
G	46293	            Pseudacidovorax	1102	1102	  0.13
G	46278	            Ideonella	990	990	  0.12
G	46288	            Ottowia	921	921	  0.11
G	46287	            Mitsuaria	851	851	  0.10
G	46312	            Xylophilus	428	428	  0.05
G	46281	            Lampropedia	351	351	  0.04
G	46261	            Alicycliphilus	201	201	  0.02
G	46289	            Paucibacter	165	165	  0.02
G	46285	            Malikia	128	128	  0.02
G	46279	            Inhella	127	127	  0.01
G	46274	            Extensimonas	126	126	  0.01
G	46277	            Hylemonella	124	124	  0.01
G	46307	            Thiomonas	115	115	  0.01
G	46295	            RS62 marine group	98	98	  0.01
G	46300	            Roseateles	81	81	  0.01
G	46311	            Xenophilus	77	77	  0.01
G	46299	            Rivibacter	67	67	  0.01
G	46301	            Rubrivivax	61	61	  0.01
G	46286	            Methylibium	54	54	  0.01
G	46306	            Tepidimonas	48	48	  0.01
G	46314	            [Polyangium] brachysporum group	44	44	  0.01
G	46313	            Zhizhongheella	27	27	  0.00
G	46284	            Macromonas	23	23	  0.00
G	46275	            Giesbergeria	22	22	  0.00
G	46267	            Caldimonas	14	14	  0.00
G	46305	            Tepidicella	14	14	  0.00
G	46291	            Piscinibacter	13	13	  0.00
G	46264	            Azohydromonas	13	13	  0.00
G	46302	            Schlegelella	13	13	  0.00
G	46280	            Kinneretia	8	8	  0.00
G	46308	            Tibeticola	7	7	  0.00
G	46270	            Corticibacter	5	5	  0.00
F	46220	          Burkholderiaceae	269	15492	  1.83
G	46229	            Polynucleobacter	11829	11829	  1.39
G	46221	            Burkholderia-Caballeronia-Paraburkholderia	2086	2086	  0.25
G	46224	            Cupriavidus	587	587	  0.07
G	46230	            Ralstonia	373	373	  0.04
G	46226	            Limnobacter	168	168	  0.02
G	46225	            Lautropia	132	132	  0.02
G	46228	            Pandoraea	20	20	  0.00
G	46223	            Candidatus Tremblaya	11	11	  0.00
G	46222	            Candidatus Glomeribacter	9	9	  0.00
G	46232	            uncultured	5	5	  0.00
G	46231	            Robbsia	3	3	  0.00
F	46337	          Methylophilaceae	229	6022	  0.71
G	46347	            uncultured	3913	3913	  0.46
G	46343	            Methylotenera	893	893	  0.11
G	46342	            Methylophilus	494	494	  0.06
G	46345	            OM43 clade	250	250	  0.03
G	46341	            Methylobacillus	85	85	  0.01
G	46346	            UBA6140	60	60	  0.01
G	46340	            MM2	48	48	  0.01
G	46338	            Candidatus Methylopumilus	32	32	  0.00
G	46344	            Methylovorus	11	11	  0.00
G	46339	            MM1	7	7	  0.00
F	46403	          Rhodocyclaceae	267	5442	  0.64
G	46424	            Sulfuritalea	1397	1397	  0.16
G	46411	            Dechloromonas	660	660	  0.08
G	46426	            Uliginosibacterium	562	562	  0.07
G	46429	            uncultured	536	536	  0.06
G	46428	            Zoogloea	395	395	  0.05
G	46413	            Denitratisoma	377	377	  0.04
G	46425	            Thauera	344	344	  0.04
G	46408	            C39	198	198	  0.02
G	46409	            Candidatus Accumulibacter	158	158	  0.02
G	46422	            Sterolibacterium	119	119	  0.01
G	46406	            Azospira	75	75	  0.01
G	46410	            Dechlorobacter	55	55	  0.01
G	46405	            Azonexus	53	53	  0.01
G	46404	            Azoarcus	42	42	  0.00
G	46417	            Methyloversatilis	40	40	  0.00
G	46421	            Rhodocyclus	38	38	  0.00
G	46415	            Ferribacterium	26	26	  0.00
G	46419	            Propionivibrio	24	24	  0.00
G	46407	            Azovibrio	14	14	  0.00
G	46414	            Denitromonas	13	13	  0.00
G	46427	            Z-35	13	13	  0.00
G	46412	            Dechlorosoma	12	12	  0.00
G	46416	            Georgfuchsia	10	10	  0.00
G	46420	            Quatrionicoccus	8	8	  0.00
G	46423	            Sulfurisoma	4	4	  0.00
G	46418	            Niveibacterium	2	2	  0.00
F	46375	          Oxalobacteraceae	221	4361	  0.51
G	46388	            Massilia	2263	2263	  0.27
G	46383	            Duganella	373	373	  0.04
G	46397	            Undibacterium	363	363	  0.04
G	46400	            uncultured	242	242	  0.03
G	46385	            Herbaspirillum	213	213	  0.03
G	46389	            Noviherbaspirillum	209	209	  0.02
G	46387	            Janthinobacterium	192	192	  0.02
G	46382	            Collimonas	85	85	  0.01
G	46386	            Herminiimonas	69	69	  0.01
G	46390	            Oxalicibacterium	22	22	  0.00
G	46391	            Oxalobacter	19	19	  0.00
G	46394	            Pseudoduganella	18	18	  0.00
G	46381	            Candidatus Zinderia	16	16	  0.00
G	46377	            CM1G08	14	14	  0.00
G	46380	            Candidatus Vidania	9	9	  0.00
G	46376	            Actimicrobium	7	7	  0.00
G	46398	            [Aquaspirillum] arcticum group	6	6	  0.00
G	46399	            s3t2d-1089	6	6	  0.00
G	46392	            Paraherbaspirillum	4	4	  0.00
G	46378	            Candidatus Nasuia	3	3	  0.00
G	46384	            Glaciimonas	3	3	  0.00
G	46379	            Candidatus Profftella	2	2	  0.00
G	46393	            Paucimonas	1	1	  0.00
G	46395	            Rugamonas	1	1	  0.00
F	46189	          Alcaligenaceae	155	3024	  0.36
G	46190	            Achromobacter	1700	1700	  0.20
G	46200	            GKS98 freshwater group	372	372	  0.04
G	46192	            Alcaligenes	354	354	  0.04
G	46207	            Parvibium	90	90	  0.01
G	46194	            Bordetella	85	85	  0.01
G	46212	            Verticiella	61	61	  0.01
G	46206	            Parapusillimonas	42	42	  0.00
G	46202	            Oligella	27	27	  0.00
G	46191	            Advenella	18	18	  0.00
G	46210	            Pusillimonas	17	17	  0.00
G	46197	            Castellaniella	16	16	  0.00
G	46203	            Orrella	13	13	  0.00
G	46204	            Paenalcaligenes	12	12	  0.00
G	46195	            Candidatus Kinetoplastibacterium	12	12	  0.00
G	46213	            uncultured	12	12	  0.00
G	46196	            Candidimonas	11	11	  0.00
G	46201	            Kerstersia	9	9	  0.00
G	46209	            Pigmentiphaga	6	6	  0.00
G	46193	            Ampullimonas	6	6	  0.00
G	46208	            Pelistega	2	2	  0.00
G	46211	            Taylorella	2	2	  0.00
G	46199	            Eoetvoesia	1	1	  0.00
G	46205	            Paralcaligenes	1	1	  0.00
F	46430	          SC-I-84	1756	1756	  0.21
F	46361	          Nitrosomonadaceae	18	1533	  0.18
G	46364	            Ellin6067	627	627	  0.07
G	46367	            MND1	473	473	  0.06
G	46368	            Nitrosomonas	127	127	  0.01
G	46365	            GOUTA6	95	95	  0.01
G	46366	            IS-44	70	70	  0.01
G	46362	            966-1	36	36	  0.00
G	46369	            Nitrosospira	33	33	  0.00
G	46373	            oc32	18	18	  0.00
G	46372	            mle1-7	16	16	  0.00
G	46374	            uncultured	14	14	  0.00
G	46363	            DSSD61	6	6	  0.00
F	46319	          Gallionellaceae	25	522	  0.06
G	46322	            Gallionella	244	244	  0.03
G	46323	            Sideroxydans	151	151	  0.02
G	46324	            uncultured	63	63	  0.01
G	46320	            Candidatus Nitrotoga	38	38	  0.00
G	46321	            Ferriphaselus	1	1	  0.00
F	46237	          Chitinibacteraceae	10	469	  0.06
G	46240	            Chitinibacter	209	209	  0.02
G	46243	            Deefgea	162	162	  0.02
G	46244	            Formivibrio	50	50	  0.01
G	46241	            Chitinilyticum	23	23	  0.00
G	46238	            Amantichitinum	9	9	  0.00
G	46245	            Iodobacter	4	4	  0.00
G	46246	            Jeongeupia	1	1	  0.00
G	46247	            Silvimonas	1	1	  0.00
F	46251	          Chromobacteriaceae	5	353	  0.04
G	46258	            Vogesella	304	304	  0.04
G	46253	            Chromobacterium	28	28	  0.00
G	46256	            Paludibacterium	7	7	  0.00
G	46252	            Aquitalea	4	4	  0.00
G	46254	            Crenobacter	4	4	  0.00
G	46257	            Pseudogulbenkiania	1	1	  0.00
F	46325	          Hydrogenophilaceae	0	333	  0.04
G	46331	            Thiobacillus	159	159	  0.02
G	46333	            uncultured	145	145	  0.02
G	46327	            Hydrogenophilus	17	17	  0.00
G	46328	            Spirillum	10	10	  0.00
G	46330	            Tepidiphilus	2	2	  0.00
F	46442	          TRA3-20	316	316	  0.04
F	46348	          Neisseriaceae	3	286	  0.03
G	46354	            Neisseria	181	181	  0.02
G	46360	            uncultured	66	66	  0.01
G	46353	            Kingella	9	9	  0.00
G	46355	            Simonsiella	6	6	  0.00
G	46359	            Vitreoscilla	6	6	  0.00
G	46349	            Alysiella	5	5	  0.00
G	46356	            Snodgrassella	4	4	  0.00
G	46358	            Uruburuella	4	4	  0.00
G	46352	            Eikenella	2	2	  0.00
F	46431	          Sulfuricellaceae	2	270	  0.03
G	46432	            Ferritrophicum	138	138	  0.02
G	46433	            Sulfuricella	121	121	  0.01
G	46434	            Sulfuriferula	7	7	  0.00
G	46435	            Sulfurirhabdus	2	2	  0.00
F	46214	          Aquaspirillaceae	1	232	  0.03
G	46218	            Rivicola	157	157	  0.02
G	46215	            Aquaspirillum	51	51	  0.01
G	46217	            Microvirgula	15	15	  0.00
G	46216	            Laribacter	8	8	  0.00
F	46436	          Sutterellaceae	2	186	  0.02
G	46437	            AAP99	81	81	  0.01
G	46440	            uncultured	63	63	  0.01
G	46438	            Parasutterella	21	21	  0.00
G	46439	            Sutterella	19	19	  0.00
F	46219	          B1-7BS	141	141	  0.02
F	46248	          Chitinimonadaceae	0	91	  0.01
G	46249	            Chitinimonas	75	75	  0.01
G	46250	            Chitinivorax	16	16	  0.00
F	46188	          A21b	80	80	  0.01
F	46336	          MWH-UniP1 aquatic group	45	45	  0.01
F	46441	          T34	38	38	  0.00
F	46317	          Ferrovaceae	0	9	  0.00
G	46318	            Ferrovum	9	9	  0.00
F	46401	          Procabacteriaceae	0	9	  0.00
G	46402	            Procabacter	9	9	  0.00
F	46316	          EC94	6	6	  0.00
F	46334	          Leeiaceae	0	4	  0.00
G	46335	            Leeia	4	4	  0.00
F	46443	          uncultured	2	2	  0.00
G	46236	          Candidatus Protistobacter	1	1	  0.00
O	46449	        Enterobacterales	166	8891	  1.05
F	46454	          Enterobacteriaceae	131	4902	  0.58
G	46463	            Escherichia-Shigella	3838	3838	  0.45
G	46462	            Enterobacter	394	394	  0.05
G	46465	            Klebsiella	349	349	  0.04
G	46474	            Salmonella	54	54	  0.01
G	46459	            Citrobacter	52	52	  0.01
G	46470	            Plesiomonas	33	33	  0.00
G	46467	            Kosakonia	16	16	  0.00
G	46466	            Kluyvera	7	7	  0.00
G	46460	            Cronobacter	6	6	  0.00
G	46457	            Buttiauxella	5	5	  0.00
G	46468	            Lelliottia	4	4	  0.00
G	46475	            Shimwellia	3	3	  0.00
G	46473	            Raoultella	3	3	  0.00
G	46476	            Trabulsiella	2	2	  0.00
G	46456	            Atlantibacter	1	1	  0.00
