Taxon_ID	Taxon_Name	Taxonomic_Level	Total_Reads	Abundance_Percentage
F	46443	          uncultured	1	1	  0.00
F	46334	          Leeiaceae	0	1	  0.00
G	46335	            Leeia	1	1	  0.00
O	46449	        Enterobacterales	32	1883	  0.94
F	46454	          Enterobacteriaceae	29	1240	  0.62
G	46463	            Escherichia-Shigella	996	996	  0.50
G	46465	            Klebsiella	100	100	  0.05
G	46462	            Enterobacter	83	83	  0.04
G	46459	            Citrobacter	16	16	  0.01
G	46473	            Raoultella	4	4	  0.00
G	46467	            Kosakonia	3	3	  0.00
G	46457	            Buttiauxella	2	2	  0.00
G	46474	            Salmonella	2	2	  0.00
G	46466	            Kluyvera	2	2	  0.00
G	46470	            Plesiomonas	2	2	  0.00
G	46460	            Cronobacter	1	1	  0.00
F	50231	          Aeromonadaceae	3	378	  0.19
G	50232	            Aeromonas	243	243	  0.12
G	50235	            Tolumonas	131	131	  0.07
G	50233	            Oceanimonas	1	1	  0.00
F	50237	          Alteromonadaceae	5	95	  0.05
G	50251	            Rheinheimera	76	76	  0.04
G	50242	            Alteromonas	10	10	  0.00
G	50246	            Glaciecola	1	1	  0.00
G	50254	            uncultured	1	1	  0.00
G	50248	            Neiella	1	1	  0.00
G	50241	            Alishewanella	1	1	  0.00
F	46536	          Yersiniaceae	5	46	  0.02
G	46541	            Serratia	32	32	  0.02
G	46542	            Yersinia	7	7	  0.00
G	46539	            Rahnella1	2	2	  0.00
F	50342	          Vibrionaceae	0	21	  0.01
G	50351	            Vibrio	18	18	  0.01
G	50348	            Photobacterium	3	3	  0.00
F	50287	          Pasteurellaceae	2	16	  0.01
G	50300	            Haemophilus	10	10	  0.00
G	50309	            Pasteurella	4	4	  0.00
F	46478	          Erwiniaceae	0	14	  0.01
G	46483	            Pantoea	8	8	  0.00
G	46480	            Erwinia	4	4	  0.00
G	46482	            Izhakiella	2	2	  0.00
F	46493	          Morganellaceae	2	9	  0.00
G	46519	            Proteus	3	3	  0.00
G	46495	            Buchnera	1	1	  0.00
G	46524	            uncultured	1	1	  0.00
G	46522	            Xenorhabdus	1	1	  0.00
G	46517	            Morganella	1	1	  0.00
F	46543	          uncultured	7	7	  0.00
F	50329	          Shewanellaceae	0	7	  0.00
G	50332	            Shewanella	7	7	  0.00
F	46490	          Hafniaceae	0	4	  0.00
G	46491	            Edwardsiella	4	4	  0.00
F	50319	          Pseudoalteromonadaceae	0	3	  0.00
G	50321	            Pseudoalteromonas	3	3	  0.00
F	46450	          Budviciaceae	0	2	  0.00
G	46451	            Budvicia	2	2	  0.00
F	50333	          Succinivibrionaceae	1	2	  0.00
G	50338	            Succinivibrio	1	1	  0.00
F	50271	          Kangiellaceae	0	2	  0.00
G	50272	            Aliikangiella	1	1	  0.00
G	50275	            uncultured	1	1	  0.00
F	50257	          Colwelliaceae	0	1	  0.00
G	50258	            Colwellia	1	1	  0.00
F	50324	          Psychromonadaceae	0	1	  0.00
G	50328	            Psychromonas	1	1	  0.00
F	50267	          Idiomarinaceae	0	1	  0.00
G	50269	            Idiomarina	1	1	  0.00
F	46525	          Pectobacteriaceae	0	1	  0.00
G	46530	            Pectobacterium	1	1	  0.00
F	50281	          Orbaceae	0	1	  0.00
G	50284	            Gilliamella	1	1	  0.00
O	3709	        Pseudomonadales	10	1179	  0.59
F	3718	          Pseudomonadaceae	0	832	  0.42
G	3723	            Pseudomonas	832	832	  0.42
F	3710	          Moraxellaceae	7	213	  0.11
G	3717	            uncultured	104	104	  0.05
G	3711	            Acinetobacter	79	79	  0.04
G	26804	            Paraperlucidibaca	8	8	  0.00
G	3715	            Perlucidibaca	6	6	  0.00
G	3716	            Psychrobacter	3	3	  0.00
G	3712	            Alkanindiges	2	2	  0.00
G	3714	            Moraxella	2	2	  0.00
G	14681	            [Agitococcus] lubricus group	1	1	  0.00
G	26805	            Permianibacter	1	1	  0.00
F	50470	          Spongiibacteraceae	0	34	  0.02
G	50471	            BD1-7 clade	34	34	  0.02
F	50360	          Cellvibrionaceae	0	23	  0.01
G	50365	            Cellvibrio	17	17	  0.01
G	50379	            uncultured	2	2	  0.00
G	50361	            Aestuariicella	2	2	  0.00
G	50370	            Marinagarivorans	1	1	  0.00
G	50372	            Marinimicrobium	1	1	  0.00
F	50450	          Pseudohongiellaceae	0	18	  0.01
G	50452	            Pseudohongiella	17	17	  0.01
G	50451	            BIyi10	1	1	  0.00
F	50397	          Halomonadaceae	0	16	  0.01
G	50404	            Halomonas	12	12	  0.01
G	50406	            Halotalea	2	2	  0.00
G	50414	            Salinicola	1	1	  0.00
G	50403	            Cobetia	1	1	  0.00
F	50387	          Halieaceae	1	12	  0.01
G	50394	            OM60(NOR5) clade	8	8	  0.00
G	50396	            Pseudohaliea	2	2	  0.00
G	50391	            Halioglobus	1	1	  0.00
F	50454	          SAR86 clade	5	5	  0.00
F	50422	          Marinobacteraceae	0	4	  0.00
G	50423	            Marinobacter	4	4	  0.00
F	50479	          Thioglobaceae	0	4	  0.00
G	50485	            SUP05 cluster	3	3	  0.00
G	50486	            V38	1	1	  0.00
F	50354	          211ds20	3	3	  0.00
F	50418	          KI89A clade	1	1	  0.00
F	50356	          Alcanivoracaceae1	0	1	  0.00
G	50357	            Alcanivorax	1	1	  0.00
F	50428	          Nitrincolaceae	0	1	  0.00
G	50432	            Marinobacterium	1	1	  0.00
F	50440	          OM182 clade	1	1	  0.00
F	50443	          Oleiphilaceae	0	1	  0.00
G	50444	            Oleiphilus	1	1	  0.00
O	3786	        Xanthomonadales	3	508	  0.25
F	3799	          Xanthomonadaceae	12	455	  0.23
G	3801	            Arenimonas	256	256	  0.13
G	3818	            Stenotrophomonas	116	116	  0.06
G	3809	            Lysobacter	29	29	  0.01
G	3813	            Pseudoxanthomonas	16	16	  0.01
G	3820	            Thermomonas	12	12	  0.01
G	3824	            uncultured	6	6	  0.00
G	3822	            Xanthomonas	4	4	  0.00
G	3808	            Luteimonas	3	3	  0.00
G	3817	            Silanimonas	1	1	  0.00
F	26864	          Rhodanobacteraceae	1	50	  0.02
G	26880	            uncultured	18	18	  0.01
G	46583	            Ahniella	11	11	  0.01
G	26868	            Dokdonella	8	8	  0.00
G	26877	            Rhodanobacter	5	5	  0.00
G	26872	            Luteibacter	3	3	  0.00
G	26873	            Metallibacterium	1	1	  0.00
G	26879	            Tahibacter	1	1	  0.00
G	26865	            Aquimonas	1	1	  0.00
G	26869	            Dyella	1	1	  0.00
O	26616	        Diplorickettsiales	0	347	  0.17
F	26617	          Diplorickettsiaceae	3	347	  0.17
G	26620	            Rickettsiella	241	241	  0.12
G	26621	            uncultured	83	83	  0.04
G	26618	            Aquicella	20	20	  0.01
O	3552	        Legionellales	0	95	  0.05
F	3559	          Legionellaceae	1	95	  0.05
G	3560	            Legionella	93	93	  0.05
G	3561	            uncultured	1	1	  0.00
O	3535	        Gammaproteobacteria Incertae Sedis	0	81	  0.04
F	3536	          Unknown Family	44	81	  0.04
G	14661	            uncultured	16	16	  0.01
G	26665	            Candidatus Ovatusbacter	11	11	  0.01
G	26663	            Candidatus Berkiella	8	8	  0.00
G	26661	            Acidibacter	2	2	  0.00
O	26594	        CHAB-XI-27	26	26	  0.01
O	26825	        Steroidobacterales	0	20	  0.01
F	26826	          Steroidobacteraceae	1	16	  0.01
G	26829	            uncultured	11	11	  0.01
G	26828	            Steroidobacter	4	4	  0.00
F	26830	          Woeseiaceae	0	4	  0.00
G	26831	            JTB255 marine benthic group	2	2	  0.00
G	26832	            Woeseia	2	2	  0.00
O	3728	        Salinisphaerales	0	20	  0.01
F	26815	          Solimonadaceae	2	20	  0.01
G	26824	            uncultured	11	11	  0.01
G	26821	            Panacagrimonas	3	3	  0.00
G	26816	            Alkanibacter	2	2	  0.00
G	26818	            Hydrocarboniphaga	1	1	  0.00
G	26819	            Nevskia	1	1	  0.00
O	26806	        R7C24	15	15	  0.01
O	26612	        Coxiellales	0	13	  0.01
F	26613	          Coxiellaceae	0	13	  0.01
G	26614	            Coxiella	13	13	  0.01
O	26592	        CCM19a	10	10	  0.00
O	3415	        Chromatiales	0	10	  0.00
F	3416	          Chromatiaceae	0	10	  0.00
G	3418	            Chromatium	7	7	  0.00
G	3421	            Lamprocystis	2	2	  0.00
G	3440	            uncultured	1	1	  0.00
O	14692	        uncultured	9	9	  0.00
O	26796	        PLTA13	9	9	  0.00
O	14615	        Acidiferrobacterales	0	7	  0.00
F	14616	          Acidiferrobacteraceae	0	7	  0.00
G	14618	            Sulfurifustis	7	7	  0.00
O	3725	        Run-SP154	6	6	  0.00
O	3409	        Cardiobacteriales	0	5	  0.00
F	3410	          Cardiobacteriaceae	0	3	  0.00
G	3414	            uncultured	3	3	  0.00
F	26595	          Wohlfahrtiimonadaceae	0	2	  0.00
G	26596	            Ignatzschineria	2	2	  0.00
O	26732	        Nitrosococcales	0	3	  0.00
F	26733	          Methylophagaceae	0	2	  0.00
G	26735	            Methylophaga	1	1	  0.00
G	26736	            uncultured	1	1	  0.00
F	26737	          Nitrosococcaceae	0	1	  0.00
G	26739	            AqS1	1	1	  0.00
O	3735	        Thiotrichales	0	3	  0.00
F	3754	          Thiotrichaceae	0	3	  0.00
G	3770	            uncultured	2	2	  0.00
G	3769	            Thiothrix	1	1	  0.00
O	3563	        Methylococcales	0	3	  0.00
F	46553	          Methylomonadaceae	0	2	  0.00
G	46568	            Milano-WF1B-03	1	1	  0.00
G	46554	            Crenothrix	1	1	  0.00
F	3571	          Methylococcaceae	0	1	  0.00
G	3586	            uncultured	1	1	  0.00
O	26591	        CCD24	3	3	  0.00
O	26324	        B2M28	3	3	  0.00
O	26624	        Ectothiorhodospirales	0	2	  0.00
F	26627	          Ectothiorhodospiraceae	0	1	  0.00
G	26637	            uncultured	1	1	  0.00
F	26638	          Thioalkalispiraceae	0	1	  0.00
G	46447	            Thioalkalispira-Sulfurivermis	1	1	  0.00
O	26799	        Piscirickettsiales	0	2	  0.00
F	26800	          Piscirickettsiaceae	0	2	  0.00
G	26801	            Candidatus Endoecteinascidia	2	2	  0.00
O	3307	        Acidithiobacillales	0	2	  0.00
F	3309	          Acidithiobacillaceae	0	2	  0.00
G	3310	            Acidithiobacillus	2	2	  0.00
O	11508	        Arenicellales	0	2	  0.00
F	11509	          Arenicellaceae	0	2	  0.00
G	14622	            uncultured	1	1	  0.00
G	26321	            HTCC5015	1	1	  0.00
O	3591	        NKB5	2	2	  0.00
O	26843	        Thiomicrospirales	0	1	  0.00
F	26852	          Thiomicrospiraceae	0	1	  0.00
G	26856	            Thiomicrorhabdus	1	1	  0.00
O	26623	        EV818SWSAP88	1	1	  0.00
O	3467	        EC3	1	1	  0.00
O	26834	        Tenderiales	0	1	  0.00
F	26835	          Tenderiaceae	0	1	  0.00
G	26836	            Candidatus Tenderia	1	1	  0.00
O	26660	        Ga0077536	1	1	  0.00
O	26681	        JG36-GS-52	1	1	  0.00
O	26684	        KF-JG30-C25	1	1	  0.00
C	2379	      Alphaproteobacteria	32	2994	  1.49
O	2823	        Sphingomonadales	0	1324	  0.66
F	2844	          Sphingomonadaceae	107	1324	  0.66
G	2852	            Sphingomonas	379	379	  0.19
G	2846	            Novosphingobium	264	264	  0.13
G	2850	            Sphingobium	138	138	  0.07
G	2854	            Sphingorhabdus	121	121	  0.06
G	2858	            uncultured	112	112	  0.06
G	2853	            Sphingopyxis	97	97	  0.05
G	26240	            Altererythrobacter	38	38	  0.02
G	26245	            Erythrobacter	35	35	  0.02
G	11469	            Polymorphobacter	10	10	  0.00
G	14559	            Rhizorhapis	5	5	  0.00
G	26251	            Sphingoaurantiacus	3	3	  0.00
G	26248	            Porphyrobacter	3	3	  0.00
G	14558	            Parablastomonas	3	3	  0.00
G	2857	            Zymomonas	3	3	  0.00
G	26244	            Ellin6055	1	1	  0.00
G	2848	            Sandaracinobacter	1	1	  0.00
G	26246	            MN 122.2a	1	1	  0.00
G	26247	            Plot4-2H12	1	1	  0.00
G	26249	            Qipengyuania	1	1	  0.00
G	2845	            Blastomonas	1	1	  0.00
O	2557	        Rhodobacterales	0	744	  0.37
F	2558	          Rhodobacteraceae	75	744	  0.37
G	2624	            Rhodobacter	180	180	  0.09
G	2607	            Paracoccus	134	134	  0.07
G	2666	            uncultured	111	111	  0.06
G	2620	            Pseudorhodobacter	45	45	  0.02
G	2641	            Roseovarius	30	30	  0.01
G	2653	            Sulfitobacter	21	21	  0.01
G	14530	            Cereibacter	17	17	  0.01
G	2654	            Tabrizicola	12	12	  0.01
G	46168	            Yoonia-Loktanella	10	10	  0.00
G	2645	            Ruegeria	8	8	  0.00
G	2634	            Roseivivax	8	8	  0.00
G	2572	            Falsirhodobacter	7	7	  0.00
G	2559	            Actibacterium	7	7	  0.00
G	2574	            Gemmobacter	6	6	  0.00
G	11455	            Planktomarina	6	6	  0.00
G	2638	            Roseobacter clade NAC11-7 lineage	4	4	  0.00
G	2560	            Albidovulum	4	4	  0.00
G	11460	            Sedimentitalea	4	4	  0.00
G	2562	            Amaricoccus	4	4	  0.00
G	2651	            Shimia	3	3	  0.00
G	46164	            Limibaculum	3	3	  0.00
G	2626	            Rhodovulum	3	3	  0.00
G	2592	            Marinovum	2	2	  0.00
G	2602	            Oceaniovalibus	2	2	  0.00
G	2569	            Defluviimonas	2	2	  0.00
G	2575	            Haematobacter	2	2	  0.00
G	2594	            Marivita	2	2	  0.00
G	2632	            Roseinatronobacter	2	2	  0.00
G	2628	            Roseibacterium	2	2	  0.00
G	46159	            Aestuariicoccus	2	2	  0.00
G	46165	            Limimaricola	2	2	  0.00
G	2583	            Lentibacter	2	2	  0.00
G	2621	            Pseudoruegeria	1	1	  0.00
G	2636	            Roseobacter clade CHAB-I-5 lineage	1	1	  0.00
G	2631	            Roseicyclus	1	1	  0.00
G	2571	            Donghicola	1	1	  0.00
G	2642	            Rubellimicrobium	1	1	  0.00
G	2570	            Dinoroseobacter	1	1	  0.00
G	2561	            Albimonas	1	1	  0.00
G	2650	            Seohaeicola	1	1	  0.00
G	2568	            Citreimonas	1	1	  0.00
G	2661	            Tropicibacter	1	1	  0.00
G	2664	            Wenxinia	1	1	  0.00
G	11458	            Pseudophaeobacter	1	1	  0.00
G	14535	            Plastorhodobacter	1	1	  0.00
G	26163	            Halodurantibacterium	1	1	  0.00
G	26171	            Pseudooceanicola	1	1	  0.00
G	26172	            Rhodobaculum	1	1	  0.00
G	26173	            Silicimonas	1	1	  0.00
G	46161	            Cognatishimia	1	1	  0.00
G	2600	            Oceanicella	1	1	  0.00
G	2616	            Ponticoccus	1	1	  0.00
G	2590	            Maribius	1	1	  0.00
G	2599	            Oceanibulbus	1	1	  0.00
O	2421	        Rhizobiales	6	374	  0.19
F	2525	          Rhizobiaceae	3	135	  0.07
G	26091	            Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	82	82	  0.04
G	26112	            Mesorhizobium	19	19	  0.01
G	2526	            Ensifer	11	11	  0.01
G	26127	            uncultured	5	5	  0.00
G	26115	            Ochrobactrum	4	4	  0.00
G	26119	            Pseudahrensia	2	2	  0.00
G	26114	            Nitratireductor	2	2	  0.00
G	26092	            Aminobacter	2	2	  0.00
G	2529	            Shinella	1	1	  0.00
G	26098	            Candidatus Hodgkinia	1	1	  0.00
G	26097	            Brucella	1	1	  0.00
G	11436	            Neorhizobium	1	1	  0.00
G	26090	            Aliihoeflea	1	1	  0.00
F	2545	          Xanthobacteraceae	1	60	  0.03
G	26151	            Bradyrhizobium	29	29	  0.01
G	2554	            uncultured	11	11	  0.01
G	2550	            Pseudolabrys	10	10	  0.00
G	26148	            Afipia	5	5	  0.00
G	26157	            Rhodoplanes	2	2	  0.00
G	26158	            Rhodopseudomonas	1	1	  0.00
G	26156	            Pseudorhodoplanes	1	1	  0.00
F	26055	          Devosiaceae	0	45	  0.02
G	26058	            Devosia	44	44	  0.02
G	26056	            Arsenicitalea	1	1	  0.00
F	2435	          Beijerinckiaceae	1	43	  0.02
G	26054	            alphaI cluster	16	16	  0.01
G	46157	            Methylobacterium-Methylorubrum	10	10	  0.00
G	26047	            Methylosinus	4	4	  0.00
G	26042	            Bosea	3	3	  0.00
G	2444	            uncultured	3	3	  0.00
G	2442	            Methylorosula	2	2	  0.00
G	26046	            Methylocystis	2	2	  0.00
G	26051	            Rhodoblastus	1	1	  0.00
G	26048	            Microvirga	1	1	  0.00
F	2530	          Rhizobiales Incertae Sedis	0	37	  0.02
G	14525	            uncultured	27	27	  0.01
G	2534	            Nordella	8	8	  0.00
G	2532	            Bauldia	1	1	  0.00
G	26129	            Dichotomicrobium	1	1	  0.00
F	2472	          Hyphomicrobiaceae	0	29	  0.01
G	2480	            Hyphomicrobium	21	21	  0.01
G	2483	            Pedomicrobium	5	5	  0.00
G	2490	            uncultured	2	2	  0.00
G	2479	            Filomicrobium	1	1	  0.00
F	26071	          Methyloligellaceae	1	8	  0.00
G	26075	            uncultured	7	7	  0.00
F	2423	          A0839	7	7	  0.00
F	26133	          Stappiaceae	0	2	  0.00
G	26136	            Labrenzia	2	2	  0.00
F	2556	          uncultured	2	2	  0.00
O	26009	        Paracaedibacterales	0	146	  0.07
F	26010	          Paracaedibacteraceae	0	146	  0.07
G	26015	            uncultured	142	142	  0.07
G	26014	            Candidatus Paracaedibacter	3	3	  0.00
G	26012	            Candidatus Finniella	1	1	  0.00
