Taxon_ID	Taxon_Name	Taxonomic_Level	Total_Reads	Abundance_Percentage
F	46430	          SC-I-84	174	174	  0.22
F	46361	          Nitrosomonadaceae	0	128	  0.16
G	46367	            MND1	49	49	  0.06
G	46364	            Ellin6067	42	42	  0.05
G	46368	            Nitrosomonas	11	11	  0.01
G	46366	            IS-44	8	8	  0.01
G	46362	            966-1	6	6	  0.01
G	46369	            Nitrosospira	5	5	  0.01
G	46373	            oc32	4	4	  0.00
G	46365	            GOUTA6	3	3	  0.00
F	46348	          Neisseriaceae	3	47	  0.06
G	46354	            Neisseria	31	31	  0.04
G	46360	            uncultured	7	7	  0.01
G	46356	            Snodgrassella	2	2	  0.00
G	46349	            Alysiella	1	1	  0.00
G	46351	            Conchiformibius	1	1	  0.00
G	46355	            Simonsiella	1	1	  0.00
G	46359	            Vitreoscilla	1	1	  0.00
F	46319	          Gallionellaceae	2	45	  0.06
G	46322	            Gallionella	21	21	  0.03
G	46323	            Sideroxydans	12	12	  0.01
G	46324	            uncultured	7	7	  0.01
G	46320	            Candidatus Nitrotoga	3	3	  0.00
F	46214	          Aquaspirillaceae	0	41	  0.05
G	46218	            Rivicola	24	24	  0.03
G	46215	            Aquaspirillum	13	13	  0.02
G	46217	            Microvirgula	3	3	  0.00
G	46216	            Laribacter	1	1	  0.00
F	46251	          Chromobacteriaceae	0	40	  0.05
G	46258	            Vogesella	31	31	  0.04
G	46253	            Chromobacterium	6	6	  0.01
G	46256	            Paludibacterium	3	3	  0.00
F	46237	          Chitinibacteraceae	0	39	  0.05
G	46243	            Deefgea	16	16	  0.02
G	46244	            Formivibrio	8	8	  0.01
G	46240	            Chitinibacter	7	7	  0.01
G	46245	            Iodobacter	5	5	  0.01
G	46238	            Amantichitinum	3	3	  0.00
F	46325	          Hydrogenophilaceae	0	30	  0.04
G	46333	            uncultured	13	13	  0.02
G	46331	            Thiobacillus	12	12	  0.01
G	46327	            Hydrogenophilus	3	3	  0.00
G	46328	            Spirillum	1	1	  0.00
G	46330	            Tepidiphilus	1	1	  0.00
F	46431	          Sulfuricellaceae	0	23	  0.03
G	46432	            Ferritrophicum	10	10	  0.01
G	46433	            Sulfuricella	9	9	  0.01
G	46434	            Sulfuriferula	3	3	  0.00
G	46435	            Sulfurirhabdus	1	1	  0.00
F	46442	          TRA3-20	22	22	  0.03
F	46436	          Sutterellaceae	0	21	  0.03
G	46440	            uncultured	9	9	  0.01
G	46438	            Parasutterella	6	6	  0.01
G	46437	            AAP99	3	3	  0.00
G	46439	            Sutterella	3	3	  0.00
F	46219	          B1-7BS	9	9	  0.01
F	46188	          A21b	7	7	  0.01
F	46336	          MWH-UniP1 aquatic group	5	5	  0.01
F	46401	          Procabacteriaceae	0	3	  0.00
G	46402	            Procabacter	3	3	  0.00
F	46316	          EC94	2	2	  0.00
F	46317	          Ferrovaceae	0	1	  0.00
G	46318	            Ferrovum	1	1	  0.00
F	46248	          Chitinimonadaceae	0	1	  0.00
G	46249	            Chitinimonas	1	1	  0.00
O	46449	        Enterobacterales	19	1119	  1.39
F	46454	          Enterobacteriaceae	18	501	  0.62
G	46463	            Escherichia-Shigella	391	391	  0.49
G	46465	            Klebsiella	38	38	  0.05
G	46462	            Enterobacter	32	32	  0.04
G	46474	            Salmonella	8	8	  0.01
G	46459	            Citrobacter	5	5	  0.01
G	46467	            Kosakonia	4	4	  0.00
G	46460	            Cronobacter	2	2	  0.00
G	46473	            Raoultella	1	1	  0.00
G	46468	            Lelliottia	1	1	  0.00
G	46470	            Plesiomonas	1	1	  0.00
F	50231	          Aeromonadaceae	6	455	  0.57
G	50232	            Aeromonas	247	247	  0.31
G	50235	            Tolumonas	202	202	  0.25
F	50237	          Alteromonadaceae	3	95	  0.12
G	50251	            Rheinheimera	90	90	  0.11
G	50241	            Alishewanella	2	2	  0.00
F	46536	          Yersiniaceae	0	18	  0.02
G	46541	            Serratia	8	8	  0.01
G	46542	            Yersinia	7	7	  0.01
G	46539	            Rahnella1	2	2	  0.00
G	50353	            Gibbsiella	1	1	  0.00
F	46493	          Morganellaceae	0	6	  0.01
G	46494	            Arsenophonus	2	2	  0.00
G	46523	            endosymbionts	1	1	  0.00
G	46522	            Xenorhabdus	1	1	  0.00
G	46520	            Providencia	1	1	  0.00
G	46519	            Proteus	1	1	  0.00
F	50333	          Succinivibrionaceae	0	5	  0.01
G	50338	            Succinivibrio	2	2	  0.00
G	50334	            Anaerobiospirillum	1	1	  0.00
G	50335	            Ruminobacter	1	1	  0.00
G	50337	            Succinimonas	1	1	  0.00
F	46478	          Erwiniaceae	0	4	  0.00
G	46483	            Pantoea	3	3	  0.00
G	46480	            Erwinia	1	1	  0.00
F	50342	          Vibrionaceae	0	3	  0.00
G	50351	            Vibrio	3	3	  0.00
F	50329	          Shewanellaceae	0	3	  0.00
G	50332	            Shewanella	3	3	  0.00
F	50319	          Pseudoalteromonadaceae	0	3	  0.00
G	50321	            Pseudoalteromonas	3	3	  0.00
F	46525	          Pectobacteriaceae	0	2	  0.00
G	46530	            Pectobacterium	2	2	  0.00
F	46450	          Budviciaceae	0	1	  0.00
G	46453	            Pragia	1	1	  0.00
F	50257	          Colwelliaceae	0	1	  0.00
G	50261	            Thalassotalea	1	1	  0.00
F	46490	          Hafniaceae	0	1	  0.00
G	46491	            Edwardsiella	1	1	  0.00
F	46543	          uncultured	1	1	  0.00
F	50281	          Orbaceae	0	1	  0.00
G	50284	            Gilliamella	1	1	  0.00
O	3709	        Pseudomonadales	3	477	  0.59
F	3718	          Pseudomonadaceae	0	247	  0.31
G	3723	            Pseudomonas	247	247	  0.31
F	3710	          Moraxellaceae	6	169	  0.21
G	3711	            Acinetobacter	95	95	  0.12
G	3715	            Perlucidibaca	36	36	  0.04
G	3717	            uncultured	24	24	  0.03
G	14681	            [Agitococcus] lubricus group	4	4	  0.00
G	3716	            Psychrobacter	2	2	  0.00
G	3714	            Moraxella	1	1	  0.00
G	14680	            Fluviicoccus	1	1	  0.00
F	50470	          Spongiibacteraceae	0	17	  0.02
G	50471	            BD1-7 clade	17	17	  0.02
F	50450	          Pseudohongiellaceae	0	15	  0.02
G	50452	            Pseudohongiella	9	9	  0.01
G	50451	            BIyi10	6	6	  0.01
F	50360	          Cellvibrionaceae	0	7	  0.01
G	50365	            Cellvibrio	7	7	  0.01
F	50397	          Halomonadaceae	0	5	  0.01
G	50404	            Halomonas	5	5	  0.01
F	50446	          Porticoccaceae	0	3	  0.00
G	50448	            Porticoccus	3	3	  0.00
F	50454	          SAR86 clade	2	2	  0.00
F	50424	          Marinomonadaceae	0	2	  0.00
G	50425	            Marinomonas	2	2	  0.00
F	50387	          Halieaceae	0	2	  0.00
G	50394	            OM60(NOR5) clade	2	2	  0.00
F	50418	          KI89A clade	1	1	  0.00
F	50380	          Endozoicomonadaceae	0	1	  0.00
G	50381	            Endozoicomonas	1	1	  0.00
F	50479	          Thioglobaceae	0	1	  0.00
G	50485	            SUP05 cluster	1	1	  0.00
F	50354	          211ds20	1	1	  0.00
F	50443	          Oleiphilaceae	0	1	  0.00
G	50444	            Oleiphilus	1	1	  0.00
O	26616	        Diplorickettsiales	0	369	  0.46
F	26617	          Diplorickettsiaceae	0	369	  0.46
G	26620	            Rickettsiella	353	353	  0.44
G	26621	            uncultured	13	13	  0.02
G	26618	            Aquicella	2	2	  0.00
G	26619	            Diplorickettsia	1	1	  0.00
O	3786	        Xanthomonadales	0	250	  0.31
F	3799	          Xanthomonadaceae	11	216	  0.27
G	3801	            Arenimonas	130	130	  0.16
G	3818	            Stenotrophomonas	45	45	  0.06
G	3809	            Lysobacter	11	11	  0.01
G	3808	            Luteimonas	7	7	  0.01
G	3820	            Thermomonas	5	5	  0.01
G	3813	            Pseudoxanthomonas	4	4	  0.00
G	3822	            Xanthomonas	2	2	  0.00
G	3824	            uncultured	1	1	  0.00
F	26864	          Rhodanobacteraceae	1	34	  0.04
G	46583	            Ahniella	21	21	  0.03
G	26880	            uncultured	6	6	  0.01
G	26868	            Dokdonella	2	2	  0.00
G	26866	            Chiayiivirga	1	1	  0.00
G	26876	            Pseudofulvimonas	1	1	  0.00
G	26869	            Dyella	1	1	  0.00
G	26865	            Aquimonas	1	1	  0.00
O	26825	        Steroidobacterales	0	59	  0.07
F	26826	          Steroidobacteraceae	2	59	  0.07
G	26829	            uncultured	54	54	  0.07
G	26828	            Steroidobacter	3	3	  0.00
O	3535	        Gammaproteobacteria Incertae Sedis	0	36	  0.04
F	3536	          Unknown Family	3	36	  0.04
G	14661	            uncultured	24	24	  0.03
G	26661	            Acidibacter	8	8	  0.01
G	26665	            Candidatus Ovatusbacter	1	1	  0.00
O	3552	        Legionellales	0	29	  0.04
F	3559	          Legionellaceae	0	29	  0.04
G	3560	            Legionella	29	29	  0.04
O	3735	        Thiotrichales	0	17	  0.02
F	3754	          Thiotrichaceae	0	17	  0.02
G	3769	            Thiothrix	16	16	  0.02
G	3770	            uncultured	1	1	  0.00
O	3728	        Salinisphaerales	0	14	  0.02
F	26815	          Solimonadaceae	0	14	  0.02
G	26824	            uncultured	9	9	  0.01
G	26819	            Nevskia	2	2	  0.00
G	26822	            Polycyclovorans	2	2	  0.00
G	26816	            Alkanibacter	1	1	  0.00
O	26592	        CCM19a	12	12	  0.01
O	14615	        Acidiferrobacterales	0	11	  0.01
F	14616	          Acidiferrobacteraceae	0	11	  0.01
G	14618	            Sulfurifustis	11	11	  0.01
O	26796	        PLTA13	10	10	  0.01
O	14692	        uncultured	8	8	  0.01
O	26612	        Coxiellales	0	5	  0.01
F	26613	          Coxiellaceae	0	5	  0.01
G	26614	            Coxiella	5	5	  0.01
O	26684	        KF-JG30-C25	3	3	  0.00
O	26594	        CHAB-XI-27	3	3	  0.00
O	26624	        Ectothiorhodospirales	0	2	  0.00
F	26627	          Ectothiorhodospiraceae	0	2	  0.00
G	26637	            uncultured	2	2	  0.00
O	3563	        Methylococcales	0	2	  0.00
F	3571	          Methylococcaceae	0	1	  0.00
G	14665	            Methyloparacoccus	1	1	  0.00
F	46553	          Methylomonadaceae	0	1	  0.00
G	46562	            Methylomonas	1	1	  0.00
O	3409	        Cardiobacteriales	0	2	  0.00
F	26595	          Wohlfahrtiimonadaceae	0	2	  0.00
G	26596	            Ignatzschineria	2	2	  0.00
O	26607	        Competibacterales	0	1	  0.00
F	26608	          Competibacteraceae	0	1	  0.00
G	26609	            Candidatus Competibacter	1	1	  0.00
O	26806	        R7C24	1	1	  0.00
O	26834	        Tenderiales	0	1	  0.00
F	26835	          Tenderiaceae	0	1	  0.00
G	26836	            Candidatus Tenderia	1	1	  0.00
O	26591	        CCD24	1	1	  0.00
O	26324	        B2M28	1	1	  0.00
O	3307	        Acidithiobacillales	0	1	  0.00
F	3309	          Acidithiobacillaceae	0	1	  0.00
G	3310	            Acidithiobacillus	1	1	  0.00
O	11508	        Arenicellales	0	1	  0.00
F	11509	          Arenicellaceae	0	1	  0.00
G	14622	            uncultured	1	1	  0.00
C	2379	      Alphaproteobacteria	23	4819	  6.00
O	2557	        Rhodobacterales	0	2375	  2.96
F	2558	          Rhodobacteraceae	230	2375	  2.96
G	2654	            Tabrizicola	648	648	  0.81
G	2607	            Paracoccus	352	352	  0.44
G	2624	            Rhodobacter	317	317	  0.39
G	2666	            uncultured	249	249	  0.31
G	2620	            Pseudorhodobacter	92	92	  0.11
G	14530	            Cereibacter	73	73	  0.09
G	2653	            Sulfitobacter	30	30	  0.04
G	2572	            Falsirhodobacter	26	26	  0.03
G	2641	            Roseovarius	25	25	  0.03
G	46168	            Yoonia-Loktanella	21	21	  0.03
G	2574	            Gemmobacter	21	21	  0.03
G	2638	            Roseobacter clade NAC11-7 lineage	20	20	  0.02
G	11455	            Planktomarina	19	19	  0.02
G	2559	            Actibacterium	17	17	  0.02
G	2634	            Roseivivax	15	15	  0.02
G	2645	            Ruegeria	15	15	  0.02
G	2626	            Rhodovulum	15	15	  0.02
G	46164	            Limibaculum	12	12	  0.01
G	2592	            Marinovum	12	12	  0.01
G	2632	            Roseinatronobacter	10	10	  0.01
G	46159	            Aestuariicoccus	9	9	  0.01
G	2594	            Marivita	9	9	  0.01
G	2562	            Amaricoccus	8	8	  0.01
G	2599	            Oceanibulbus	8	8	  0.01
G	2642	            Rubellimicrobium	7	7	  0.01
G	11449	            Epibacterium	7	7	  0.01
G	2569	            Defluviimonas	7	7	  0.01
G	2661	            Tropicibacter	6	6	  0.01
G	11450	            Halocynthiibacter	6	6	  0.01
G	26172	            Rhodobaculum	5	5	  0.01
G	2628	            Roseibacterium	5	5	  0.01
G	2651	            Shimia	4	4	  0.00
G	2582	            Leisingera	4	4	  0.00
G	26170	            Nioella	4	4	  0.00
G	11453	            Paenirhodobacter	4	4	  0.00
G	2568	            Citreimonas	3	3	  0.00
G	46163	            Flavimaricola	3	3	  0.00
G	2655	            Tateyamaria	3	3	  0.00
G	2575	            Haematobacter	3	3	  0.00
G	2636	            Roseobacter clade CHAB-I-5 lineage	3	3	  0.00
G	14528	            Albirhodobacter	3	3	  0.00
G	11458	            Pseudophaeobacter	2	2	  0.00
G	2631	            Roseicyclus	2	2	  0.00
G	2649	            Sediminimonas	2	2	  0.00
G	14529	            Aliiroseovarius	2	2	  0.00
G	2583	            Lentibacter	2	2	  0.00
G	11460	            Sedimentitalea	2	2	  0.00
G	2659	            Thioclava	2	2	  0.00
G	2588	            Lutimaribacter	2	2	  0.00
G	2663	            Vadicella	2	2	  0.00
G	2664	            Wenxinia	2	2	  0.00
G	2602	            Oceaniovalibus	2	2	  0.00
G	2561	            Albimonas	2	2	  0.00
G	11446	            Ascidiaceihabitans	2	2	  0.00
G	14536	            Pontivivens	1	1	  0.00
G	46165	            Limimaricola	1	1	  0.00
G	26173	            Silicimonas	1	1	  0.00
G	14532	            Frigidibacter	1	1	  0.00
G	26171	            Pseudooceanicola	1	1	  0.00
G	26162	            HIMB11	1	1	  0.00
G	46161	            Cognatishimia	1	1	  0.00
G	26163	            Halodurantibacterium	1	1	  0.00
G	11448	            Cribrihabitans	1	1	  0.00
G	2560	            Albidovulum	1	1	  0.00
G	2662	            Tropicimonas	1	1	  0.00
G	11445	            Amylibacter	1	1	  0.00
G	11447	            Boseongicola	1	1	  0.00
G	2611	            Phaeobacter	1	1	  0.00
G	2616	            Ponticoccus	1	1	  0.00
G	2571	            Donghicola	1	1	  0.00
G	2604	            Pacificibacter	1	1	  0.00
G	2603	            Octadecabacter	1	1	  0.00
G	2621	            Pseudoruegeria	1	1	  0.00
O	2823	        Sphingomonadales	0	1616	  2.01
F	2844	          Sphingomonadaceae	161	1616	  2.01
G	2846	            Novosphingobium	473	473	  0.59
G	2852	            Sphingomonas	463	463	  0.58
G	2850	            Sphingobium	127	127	  0.16
G	2853	            Sphingopyxis	103	103	  0.13
G	2854	            Sphingorhabdus	85	85	  0.11
G	26245	            Erythrobacter	68	68	  0.08
G	2858	            uncultured	58	58	  0.07
G	26240	            Altererythrobacter	50	50	  0.06
G	26251	            Sphingoaurantiacus	6	6	  0.01
G	2857	            Zymomonas	5	5	  0.01
G	26248	            Porphyrobacter	5	5	  0.01
G	14559	            Rhizorhapis	3	3	  0.00
G	26247	            Plot4-2H12	3	3	  0.00
G	26244	            Ellin6055	3	3	  0.00
G	2845	            Blastomonas	1	1	  0.00
G	11469	            Polymorphobacter	1	1	  0.00
G	14558	            Parablastomonas	1	1	  0.00
O	2421	        Rhizobiales	20	577	  0.72
F	2525	          Rhizobiaceae	15	192	  0.24
G	26091	            Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	117	117	  0.15
G	26112	            Mesorhizobium	24	24	  0.03
G	26127	            uncultured	7	7	  0.01
G	2526	            Ensifer	4	4	  0.00
G	26119	            Pseudahrensia	4	4	  0.00
G	26115	            Ochrobactrum	4	4	  0.00
G	2529	            Shinella	3	3	  0.00
G	11436	            Neorhizobium	2	2	  0.00
G	26121	            Pseudochrobactrum	2	2	  0.00
G	26095	            Aureimonas	2	2	  0.00
G	26118	            Phyllobacterium	2	2	  0.00
G	26093	            Aquamicrobium	1	1	  0.00
G	26114	            Nitratireductor	1	1	  0.00
G	26108	            Hoeflea	1	1	  0.00
G	26103	            Cohaesibacter	1	1	  0.00
G	26102	            Ciceribacter	1	1	  0.00
G	26096	            Bartonella	1	1	  0.00
F	2530	          Rhizobiales Incertae Sedis	0	99	  0.12
G	14525	            uncultured	77	77	  0.10
G	11439	            Phreatobacter	10	10	  0.01
G	2534	            Nordella	6	6	  0.01
G	2532	            Bauldia	4	4	  0.00
G	26129	            Dichotomicrobium	2	2	  0.00
F	2472	          Hyphomicrobiaceae	3	85	  0.11
G	2480	            Hyphomicrobium	54	54	  0.07
G	2483	            Pedomicrobium	25	25	  0.03
G	2479	            Filomicrobium	2	2	  0.00
G	2490	            uncultured	1	1	  0.00
F	26055	          Devosiaceae	1	60	  0.07
G	26058	            Devosia	57	57	  0.07
G	26064	            uncultured	2	2	  0.00
F	2435	          Beijerinckiaceae	2	46	  0.06
G	46157	            Methylobacterium-Methylorubrum	10	10	  0.01
G	26054	            alphaI cluster	10	10	  0.01
G	26042	            Bosea	9	9	  0.01
G	2444	            uncultured	4	4	  0.00
G	26048	            Microvirga	3	3	  0.00
G	26047	            Methylosinus	3	3	  0.00
G	26044	            FukuN57	3	3	  0.00
G	26046	            Methylocystis	2	2	  0.00
F	2545	          Xanthobacteraceae	3	44	  0.05
G	2554	            uncultured	15	15	  0.02
G	26151	            Bradyrhizobium	15	15	  0.02
G	2550	            Pseudolabrys	4	4	  0.00
G	2546	            Ancylobacter	3	3	  0.00
G	26156	            Pseudorhodoplanes	2	2	  0.00
G	2548	            Azorhizobium	1	1	  0.00
G	26158	            Rhodopseudomonas	1	1	  0.00
F	26071	          Methyloligellaceae	2	19	  0.02
G	26075	            uncultured	16	16	  0.02
G	26072	            Methyloceanibacter	1	1	  0.00
F	2423	          A0839	5	5	  0.01
F	26131	          Rhodomicrobiaceae	0	4	  0.00
G	26132	            Rhodomicrobium	4	4	  0.00
F	46155	          Ancalomicrobiaceae	0	1	  0.00
G	46156	            Ancalomicrobium	1	1	  0.00
F	26065	          Kaistiaceae	0	1	  0.00
G	26066	            Kaistia	1	1	  0.00
F	26081	          Pleomorphomonadaceae	0	1	  0.00
G	26083	            Chthonobacter	1	1	  0.00
O	2386	        Caulobacterales	0	35	  0.04
F	2387	          Caulobacteraceae	0	30	  0.04
G	2390	            Brevundimonas	17	17	  0.02
G	2391	            Caulobacter	7	7	  0.01
G	2392	            Phenylobacterium	5	5	  0.01
G	2393	            uncultured	1	1	  0.00
F	2394	          Hyphomonadaceae	0	5	  0.01
G	25969	            UKL13-1	5	5	  0.01
O	25900	        Acetobacterales	0	35	  0.04
F	25901	          Acetobacteraceae	1	35	  0.04
G	25932	            Roseomonas	14	14	  0.02
G	25937	            uncultured	9	9	  0.01
G	25931	            Roseococcus	7	7	  0.01
G	25904	            Acidiphilium	2	2	  0.00
G	25902	            Acetobacter	1	1	  0.00
G	25930	            Rhodovastum	1	1	  0.00
O	25946	        Azospirillales	0	25	  0.03
F	25947	          Azospirillaceae	0	25	  0.03
G	25951	            Niveispirillum	13	13	  0.02
G	25948	            Azospirillum	11	11	  0.01
G	25954	            uncultured	1	1	  0.00
O	26009	        Paracaedibacterales	0	23	  0.03
F	26010	          Paracaedibacteraceae	0	23	  0.03
G	26015	            uncultured	17	17	  0.02
G	26014	            Candidatus Paracaedibacter	6	6	  0.01
O	2667	        Rhodospirillales	0	18	  0.02
F	26183	          Magnetospirillaceae	0	6	  0.01
G	26184	            Magnetospirillum	4	4	  0.00
G	26185	            Phaeospirillum	1	1	  0.00
G	26188	            uncultured	1	1	  0.00
F	26198	          uncultured	6	6	  0.01
F	2717	          Rhodospirillaceae	0	5	  0.01
G	2755	            uncultured	4	4	  0.00
G	14543	            Haematospirillum	1	1	  0.00
F	26178	          Magnetospiraceae	0	1	  0.00
G	26179	            Magnetospira	1	1	  0.00
O	2761	        Rickettsiales	1	17	  0.02
F	2801	          SM2D12	9	9	  0.01
F	2781	          Rickettsiaceae	1	2	  0.00
G	2784	            Rickettsia	1	1	  0.00
F	2805	          Mitochondria	2	2	  0.00
F	26212	          AB1	2	2	  0.00
F	2763	          Anaplasmataceae	0	1	  0.00
G	2766	            Candidatus Xenohaliotis	1	1	  0.00
O	26269	        uncultured	16	16	  0.02
O	26035	        Reyranellales	0	15	  0.02
F	26036	          Reyranellaceae	0	15	  0.02
G	26037	            Reyranella	14	14	  0.02
G	26038	            uncultured	1	1	  0.00
O	25998	        Micavibrionales	0	14	  0.02
F	26002	          uncultured	12	12	  0.01
F	25999	          Micavibrionaceae	0	2	  0.00
G	26001	            uncultured	2	2	  0.00
O	26003	        Micropepsales	0	9	  0.01
F	26004	          Micropepsaceae	0	9	  0.01
G	26007	            uncultured	8	8	  0.01
G	26005	            Micropepsis	1	1	  0.00
O	25975	        Dongiales	0	8	  0.01
F	25976	          Dongiaceae	0	8	  0.01
G	25977	            Dongia	8	8	  0.01
O	46132	        Defluviicoccales	0	5	  0.01
F	46135	          uncultured	5	5	  0.01
O	26262	        Tistrellales	0	4	  0.00
F	26263	          Geminicoccaceae	0	4	  0.00
G	26264	            Candidatus Alysiosphaera	4	4	  0.00
O	46182	        Zavarziniales	0	1	  0.00
F	46186	          uncultured	1	1	  0.00
O	46136	        Ferrovibrionales	0	1	  0.00
F	46137	          Ferrovibrionaceae	0	1	  0.00
